Data;ipca;BM;M1;M2;ln_BM;ln_M1;ln_M2
dez/22;0,62;407.026.123;621.643.877;5.105.452.217;19,82438793;20,24787794;22,35357487
jan/23;0,53;415.205.831;599.479.382;5.034.001.567;19,84428493;20,21157214;22,33948104
fev/23;0,84;407.607.488;592.303.978;5.094.021.240;19,82581523;20,19953054;22,35133338
mar/23;0,71;403.820.481;589.175.179;5.227.111.932;19,81648098;20,19423412;22,37712475
abr/23;0,61;396.092.965;589.444.095;5.256.116.447;19,7971595;20,19469044;22,38265827
mai/23;0,23;395.505.903;577.114.579;5.332.968.713;19,79567627;20,17355138;22,3971739
jun/23;-0,08;397.422.360;581.471.336;5.433.487.431;19,80051015;20,18107224;22,41584702
jul/23;0,12;402.700.636;617.416.624;5.480.967.355;19,81370401;20,2410546;22,42454745
ago/23;0,23;402.746.313;614.330.544;5.581.019.740;19,81381743;20,23604369;22,44263735
set/23;0,26;400.051.972;607.828.647;5.643.662.354;19,80710503;20,22540357;22,45379905
out/23;0,24;398.986.805;606.456.416;5.689.464.310;19,8044389;20,22314342;22,46188193
nov/23;0,28;409.947.053;608.863.367;5.758.583.696;19,83153857;20,22710444;22,4739574
dez/23;0,56;418.589.557;650.862.102;5.904.635.775;19,85240142;20,29380835;22,4990036
jan/24;0,42;421.432.901;622.659.991;5.841.201.208;19,85917113;20,24951117;22,4882023
fev/24;0,83;416.570.177;619.548.975;5.867.783.144;19,8475655;20,24450231;22,49274274
mar/24;0,16;412.553.867;626.449.719;5.969.478.261;19,83787734;20,25557907;22,50992537
abr/24;0,38;412.789.911;633.139.722;6.010.176.412;19,83844933;20,26620169;22,51671994
mai/24;0,46;422.076.679;650.860.929;6.101.542.281;19,86069756;20,29380655;22,53180741
jun/24;0,21;430.613.704;665.531.545;6.241.081.631;19,88072197;20,3160966;22,55441934
jul/24;0,38;433.937.918;662.295.537;6.298.320.378;19,88841204;20,31122244;22,56354883
ago/24;-0,02;431.708.061;656.812.475;6.361.258.911;19,88326013;20,30290911;22,57349214
set/24;0,44;431.104.239;657.223.959;6.372.576.455;19,88186047;20,3035354;22,57526969
out/24;0,56;439.507.281;650.114.586;6.418.306.026;19,90116484;20,29265919;22,58242006
nov/24;0,39;437.162.694;650.200.547;6.498.143.465;19,89581598;20,29279141;22,59478235
dez/24;0,52;445.844.085;680.515.393;6.658.392.904;19,91547986;20,338361;22,61914399
jan/25;0,16;452.884.576;627.128.800;6.544.049.603;19,93114785;20,2566625;22,60182202
fev/25;1,31;441.713.882;608.753.287;6.651.268.598;19,9061729;20,22692363;22,61807344
mar/25;0,56;441.881.838;611.845.210;6.708.973.112;19,90655307;20,23198988;22,62671174
abr/25;0,43;437.110.448;619.264.776;6.777.976.755;19,89569646;20,24404349;22,63694448
mai/25;0,26;443.043.153;624.622.975;6.872.179.019;19,90917773;20,25265879;22,65074707
jun/25;0,24;446.192.069;626.598.410;6.946.523.624;19,91626007;20,2558164;22,66150717
jul/25;0,26;442.674.919;624.474.562;7.016.391.958;19,90834624;20,25242115;22,67151496
ago/25;-0,11;437.234.648;624.678.094;7.081.984.306;19,89598056;20,25274703;22,68081997
set/25;0,48;430.731.132;627.729.531;7.164.216.044;19,88099463;20,25761995;22,69236448
out/25;0,09;429.447.252;616.931.090;7.194.985.552;19,87800948;20,24026789;22,69665017
nov/25;0,18;429.180.764;614.797.149;7.257.587.841;19,87738875;20,23680293;22,70531336
dez/25;0,33;440.866.763;647.182.787;7.334.889.813;19,90425326;20,28813933;22,71590823
Fonte;IBGE;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;#VALOR!;#VALOR!;#VALOR!
